name;content;price;type;language;date;title;keywords;description
Pácolt lazac avokádóval és kaviárral;;2290;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.02;Pácolt lazac avokádóval és kaviárral;kaviár;Pácolt lazac avokádóval és kaviárral
Paradicsom krémleves kecskesajt habbal és bazsalikom chips-szel;;1090;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.06;Paradicsom krémleves kecskesajt habbal és bazsalikom chips-szel;leves kecskesajt paradicsom;Paradicsom krémleves kecskesajt habbal és bazsalikom chips-szel
Libamájas rizotto birsalmával;;2390;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.10;Libamájas rizotto birsalmával;libamáj rizotto tészta;Libamájas rizotto birsalmával
Sole filé parajos lepénnyel és szőlő mártással;;3390;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.14;Sole filé parajos lepénnyel és szőlő mártással;paraj lepény mártás;Sole filé parajos lepénnyel és szőlő mártással
Konfit bárány lapocka rozmaringos blinivel és mustár habbal;;4500;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.18;Konfit bárány lapocka rozmaringos blinivel és mustár habbal;bárány lapocka rozmaring blini;Konfit bárány lapocka rozmaringos blinivel és mustár habbal
Petit four/creme brulee mousse muffin trüffel/;;1190;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.22;Petit four/creme brulee mousse muffin trüffel/;mousse krém trüffel;Petit four/creme brulee mousse muffin trüffel/
3 fogásos Menü      12:00-15:00  50%-os kedvezmény;;6000;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.26;3 fogásos Menü      12:00-15:00  50%-os kedvezmény;Manna ajánlata;3 fogásos Menü      12:00-15:00  50%-os kedvezmény
6 fogásos kóstoló Menü;;10000;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.01.30;6 fogásos kóstoló Menü;Manna ajánlata;6 fogásos kóstoló Menü
6 fogásos Menü borokkal(2X15dl);;12000;CHÉF AJÁNLATA - THE CHEF'S OFFER ;HU;2012.02.03;6 fogásos Menü borokkal(2X15dl);Manna ajánlata;6 fogásos Menü borokkal(2X15dl)
Marhahús esszencia marhahúsos batyuval;;1090;LEVESEK;HU;2012.02.07;Marhahús esszencia marhahúsos batyuval;marhahús ;Marhahús esszencia marhahúsos batyuval
Szürke marha gulyásleves;;1090;LEVESEK;HU;2012.02.11;Szürke marha gulyásleves;marhahús gulyásleves leves;Szürke marha gulyásleves
Nápolyi Zöldségleves;;990;LEVESEK;HU;2012.02.15;Nápolyi Zöldségleves;zöldségleves;Nápolyi Zöldségleves
Tatár bélszínből háromféle módon /tradicionális kaprival és szardellával szójával és gyömbérrel/;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.02.19;Tatár bélszínből háromféle módon /tradicionális kaprival és szardellával szójával és gyömbérrel/;előétel saláta;Tatár bélszínből háromféle módon /tradicionális kaprival és szardellával szójával és gyömbérrel/
Serpenyőben sült libamáj posírozott vaníliás körtével és házi vajas kaláccsal;;3290;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.02.23;Serpenyőben sült libamáj posírozott vaníliás körtével és házi vajas kaláccsal;előétel saláta;Serpenyőben sült libamáj posírozott vaníliás körtével és házi vajas kaláccsal
Vörös tonhal cajun fűszerkéregben angolosra sütve wasabis rucola salátán;;2890;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.02.27;Vörös tonhal cajun fűszerkéregben angolosra sütve wasabis rucola salátán;előétel saláta;Vörös tonhal cajun fűszerkéregben angolosra sütve wasabis rucola salátán
Bélszín Carpaccio parmezán forgáccsal dijon mustáros rucola salátával;;2890;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.02;Bélszín Carpaccio parmezán forgáccsal dijon mustáros rucola salátával;előétel saláta;Bélszín Carpaccio parmezán forgáccsal dijon mustáros rucola salátával
Manna Tapas tál/mozzarella serrano sonka olivabogyó szárított paradicsom padlizsán krém/;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.06;Manna Tapas tál/mozzarella serrano sonka olivabogyó szárított paradicsom padlizsán krém/;előétel saláta;Manna Tapas tál/mozzarella serrano sonka olivabogyó szárított paradicsom padlizsán krém/
Rucola saláta kéksajttal körtével és dióval balzsamecetes vienegrettel;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.10;Rucola saláta kéksajttal körtével és dióval balzsamecetes vienegrettel;előétel saláta;Rucola saláta kéksajttal körtével és dióval balzsamecetes vienegrettel
Magyaros hideg ízelítő /napi választékból/;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.14;Magyaros hideg ízelítő /napi választékból/;előétel saláta;Magyaros hideg ízelítő /napi választékból/
Mogyorós pomelo saláta koriander pestóban pácolt garnélával/;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.18;Mogyorós pomelo saláta koriander pestóban pácolt garnélával/;előétel saláta;Mogyorós pomelo saláta koriander pestóban pácolt garnélával/
Felezett zöldkagyló parmezánnal gratinírozva;;2990;ELŐÉTELEK ÉS SALÁTÁK;HU;2012.03.22;Felezett zöldkagyló parmezánnal gratinírozva;előétel saláta;Felezett zöldkagyló parmezánnal gratinírozva
Házi burgonya gnocchi paradicsomos szószban füstölt scamorza sajttal;;2690;FRISS HÁZI TÉSZTÁK és RIZOTTÓK;HU;2012.03.26;Házi burgonya gnocchi paradicsomos szószban füstölt scamorza sajttal;tészta rizottó ;Házi burgonya gnocchi paradicsomos szószban füstölt scamorza sajttal
Fokhagymás scampi fekete spagettivel;;3990;FRISS HÁZI TÉSZTÁK és RIZOTTÓK;HU;2012.03.30;Fokhagymás scampi fekete spagettivel;tészta rizottó ;Fokhagymás scampi fekete spagettivel
Pirított thai tészta csirkével és rákkal;;2990;FRISS HÁZI TÉSZTÁK és RIZOTTÓK;HU;2012.04.03;Pirított thai tészta csirkével és rákkal;tészta rizottó ;Pirított thai tészta csirkével és rákkal
Erdei gombás rizotto kacsamell csíkokkal szarvasgomba olajjal csepegtetve;;3190;FRISS HÁZI TÉSZTÁK és RIZOTTÓK;HU;2012.04.07;Erdei gombás rizotto kacsamell csíkokkal szarvasgomba olajjal csepegtetve;tészta rizottó ;Erdei gombás rizotto kacsamell csíkokkal szarvasgomba olajjal csepegtetve
Fetuccini parajjal kéksajttal és dióval;;2390;FRISS HÁZI TÉSZTÁK és RIZOTTÓK;HU;2012.04.11;Fetuccini parajjal kéksajttal és dióval;tészta rizottó ;Fetuccini parajjal kéksajttal és dióval
Jércemell filé vargánya gombás sült paprikával és mandulás burgonya krokettel;;2890;FŐÉTELEK;HU;2012.04.15;Jércemell filé vargánya gombás sült paprikával és mandulás burgonya krokettel;;Jércemell filé vargánya gombás sült paprikával és mandulás burgonya krokettel
Pecsenye kacsa combja konfitálva káposztás cvekedlivel melle burgonyával és füge szósszal;;3680;FŐÉTELEK;HU;2012.04.19;Pecsenye kacsa combja konfitálva káposztás cvekedlivel melle burgonyával és füge szósszal;;Pecsenye kacsa combja konfitálva káposztás cvekedlivel melle burgonyával és füge szósszal
Érlelt marha bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával;;5390;FŐÉTELEK;HU;2012.04.23;Érlelt marha bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával;;Érlelt marha bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával
Érlelt Argentin Angus bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával;;7350;FŐÉTELEK;HU;2012.04.27;Érlelt Argentin Angus bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával;;Érlelt Argentin Angus bélszín fűszeres burgonyával libamáj coulis-szal és vajas karottával
Borjúpaprikás tojásos galuskával és uborkasalátával;;3290;FŐÉTELEK;HU;2012.05.01;Borjúpaprikás tojásos galuskával és uborkasalátával;;Borjúpaprikás tojásos galuskával és uborkasalátával
Vörös tonhal wasabis zöldborsó kéregben vajban párolt zöldséggel;;4190;FŐÉTELEK;HU;2012.05.05;Vörös tonhal wasabis zöldborsó kéregben vajban párolt zöldséggel;;Vörös tonhal wasabis zöldborsó kéregben vajban párolt zöldséggel
Teriyaki lazac mandarínos rucola salátán és jázmin rizzsel;;3690;FŐÉTELEK;HU;2012.05.09;Teriyaki lazac mandarínos rucola salátán és jázmin rizzsel;;Teriyaki lazac mandarínos rucola salátán és jázmin rizzsel
Új-Zélandi bárányborda blinivel és rozmaringos jus-vel;;5590;FŐÉTELEK;HU;2012.05.13;Új-Zélandi bárányborda blinivel és rozmaringos jus-vel;;Új-Zélandi bárányborda blinivel és rozmaringos jus-vel
Zöldséges polenta torta pirított céklával;;2190;FŐÉTELEK;HU;2012.05.17;Zöldséges polenta torta pirított céklával;;Zöldséges polenta torta pirított céklával
Csokoládé felfújt házi vanília fagylalttal és amaréna meggyel;;1190;DESSZERTEK;HU;2012.05.21;Csokoládé felfújt házi vanília fagylalttal és amaréna meggyel;;Csokoládé felfújt házi vanília fagylalttal és amaréna meggyel
Bourbon vanília creme brulée;;990;DESSZERTEK;HU;2012.05.25;Bourbon vanília creme brulée;;Bourbon vanília creme brulée
Mascarpone torta málna öntettel;;990;DESSZERTEK;HU;2012.05.29;Mascarpone torta málna öntettel;;Mascarpone torta málna öntettel
Sajtválogatás Francia Olasz és Magyar sajtokból;;2990;DESSZERTEK;HU;2012.06.02;Sajtválogatás Francia Olasz és Magyar sajtokból;;Sajtválogatás Francia Olasz és Magyar sajtokból
